trading_date,RU_total_oi
2017-01-17,368166.0
2017-01-18,367352.0
2017-01-19,365248.0
2017-01-20,336574.0
2017-01-23,324374.0
2017-01-24,330818.0
2017-01-25,316814.0
2017-01-26,333482.0
2017-02-03,320116.0
2017-02-06,330678.0
2017-02-07,360484.0
2017-02-08,354084.0
2017-02-09,355286.0
2017-02-10,368520.0
2017-02-13,387070.0
2017-02-14,384696.0
2017-02-15,382554.0
2017-02-16,370702.0
2017-02-17,359734.0
2017-02-20,357544.0
2017-02-21,368236.0
2017-02-22,373132.0
2017-02-23,384096.0
2017-02-24,369982.0
2017-02-27,364512.0
2017-02-28,379046.0
2017-03-01,365400.0
2017-03-02,374946.0
2017-03-03,369576.0
2017-03-06,358046.0
2017-03-07,357790.0
2017-03-08,393950.0
2017-03-09,382676.0
2017-03-10,390272.0
2017-03-13,390808.0
2017-03-14,395772.0
2017-03-15,393042.0
2017-03-16,404872.0
2017-03-17,386414.0
2017-03-20,377828.0
2017-03-21,372116.0
2017-03-22,377596.0
2017-03-23,365598.0
2017-03-24,374900.0
2017-03-27,366364.0
2017-03-28,357914.0
2017-03-29,358078.0
2017-03-30,358646.0
2017-03-31,340000.0
2017-04-05,342258.0
2017-04-06,349980.0
2017-04-07,364844.0
2017-04-10,371360.0
2017-04-11,377282.0
2017-04-12,376212.0
2017-04-13,376496.0
2017-04-14,379390.0
2017-04-17,382964.0
2017-04-18,387956.0
2017-04-19,387362.0
2017-04-20,392784.0
2017-04-21,379482.0
2017-04-24,388468.0
2017-04-25,386008.0
2017-04-26,380634.0
2017-04-27,385748.0
2017-04-28,368870.0
2017-05-02,383152.0
2017-05-03,388592.0
2017-05-04,391888.0
2017-05-05,402326.0
2017-05-08,413634.0
2017-05-09,422964.0
2017-05-10,439488.0
2017-05-11,433036.0
2017-05-12,422944.0
2017-05-15,428224.0
2017-05-16,432128.0
2017-05-17,424096.0
2017-05-18,430142.0
2017-05-19,431664.0
2017-05-22,429148.0
2017-05-23,430924.0
2017-05-24,432986.0
2017-05-25,434690.0
2017-05-26,460668.0
2017-05-31,480380.0
2017-06-01,480716.0
2017-06-02,490452.0
2017-06-05,501514.0
2017-06-06,499976.0
2017-06-07,521878.0
2017-06-08,533082.0
2017-06-09,523408.0
2017-06-12,539934.0
2017-06-13,536186.0
2017-06-14,548396.0
2017-06-15,528324.0
2017-06-16,528540.0
2017-06-19,535722.0
2017-06-20,533506.0
2017-06-21,522706.0
2017-06-22,549460.0
2017-06-23,524274.0
2017-06-26,519002.0
2017-06-27,533790.0
2017-06-28,537092.0
2017-06-29,562090.0
2017-06-30,543136.0
2017-07-03,551458.0
2017-07-04,556854.0
2017-07-05,546626.0
2017-07-06,551080.0
2017-07-07,559506.0
2017-07-10,585168.0
2017-07-11,597604.0
2017-07-12,623396.0
2017-07-13,628228.0
2017-07-14,655022.0
2017-07-17,648430.0
2017-07-18,652518.0
2017-07-19,686316.0
2017-07-20,648744.0
2017-07-21,642808.0
2017-07-24,650362.0
2017-07-25,660158.0
2017-07-26,695262.0
2017-07-27,683882.0
2017-07-28,673116.0
2017-07-31,621428.0
2017-08-01,624100.0
2017-08-02,614836.0
2017-08-03,594882.0
2017-08-04,588180.0
2017-08-07,563114.0
2017-08-08,564266.0
2017-08-09,559504.0
2017-08-10,559506.0
2017-08-11,538762.0
2017-08-14,537216.0
2017-08-15,549838.0
2017-08-16,544138.0
2017-08-17,545682.0
2017-08-18,544370.0
2017-08-21,550120.0
2017-08-22,549686.0
2017-08-23,522446.0
2017-08-24,524290.0
2017-08-25,526054.0
2017-08-28,511064.0
2017-08-29,509804.0
2017-08-30,513618.0
2017-08-31,506466.0
2017-09-01,505710.0
2017-09-04,524716.0
2017-09-05,530450.0
2017-09-06,528480.0
2017-09-07,528276.0
2017-09-08,512820.0
2017-09-11,505392.0
2017-09-12,509522.0
2017-09-13,512924.0
2017-09-14,506626.0
2017-09-15,511112.0
2017-09-18,494750.0
2017-09-19,500496.0
2017-09-20,493894.0
2017-09-21,507226.0
2017-09-22,494368.0
2017-09-25,495192.0
2017-09-26,494422.0
2017-09-27,489214.0
2017-09-28,485914.0
2017-09-29,441470.0
2017-10-09,460678.0
2017-10-10,470160.0
2017-10-11,476010.0
2017-10-12,476664.0
2017-10-13,470990.0
2017-10-16,474614.0
2017-10-17,472506.0
2017-10-18,470878.0
2017-10-19,475904.0
2017-10-20,460966.0
2017-10-23,467522.0
2017-10-24,482874.0
2017-10-25,464022.0
2017-10-26,462060.0
2017-10-27,495148.0
2017-10-30,497418.0
2017-10-31,491456.0
2017-11-01,479834.0
2017-11-02,481362.0
2017-11-03,475128.0
2017-11-06,491568.0
2017-11-07,485450.0
2017-11-08,495572.0
2017-11-09,498648.0
2017-11-10,497116.0
2017-11-13,501590.0
2017-11-14,498142.0
2017-11-15,478364.0
2017-11-16,471410.0
2017-11-17,465116.0
2017-11-20,462060.0
2017-11-21,467590.0
2017-11-22,465784.0
2017-11-23,452722.0
2017-11-24,459824.0
2017-11-27,457762.0
2017-11-28,446764.0
2017-11-29,441172.0
2017-11-30,434372.0
2017-12-01,456664.0
2017-12-04,465724.0
2017-12-05,464976.0
2017-12-06,440842.0
2017-12-07,434156.0
2017-12-08,430180.0
2017-12-11,431562.0
2017-12-12,435924.0
2017-12-13,438594.0
2017-12-14,435574.0
2017-12-15,440782.0
2017-12-18,451360.0
2017-12-19,441746.0
2017-12-20,446392.0
2017-12-21,448730.0
2017-12-22,452902.0
2017-12-25,456030.0
2017-12-26,448950.0
