trading_date,FU_total_oi
2022-08-02,565259.0
2022-08-03,546817.0
2022-08-04,589823.0
2022-08-05,565215.0
2022-08-08,533595.0
2022-08-09,525110.0
2022-08-10,518280.0
2022-08-11,559782.0
2022-08-12,574983.0
2022-08-15,569454.0
2022-08-16,541430.0
2022-08-17,537654.0
2022-08-18,521598.0
2022-08-19,518756.0
2022-08-22,506899.0
2022-08-23,515206.0
2022-08-24,508830.0
2022-08-25,507242.0
2022-08-26,503016.0
2022-08-29,492519.0
2022-08-30,456276.0
2022-08-31,482567.0
2022-09-01,524677.0
2022-09-02,535709.0
2022-09-05,491290.0
2022-09-06,494071.0
2022-09-07,578206.0
2022-09-08,653541.0
2022-09-09,654694.0
2022-09-13,581047.0
2022-09-14,577616.0
2022-09-15,577015.0
2022-09-16,570942.0
2022-09-19,586305.0
2022-09-20,571571.0
2022-09-21,572362.0
2022-09-22,610858.0
2022-09-23,629553.0
2022-09-26,730494.0
2022-09-27,712959.0
2022-09-28,685013.0
2022-09-29,626867.0
2022-09-30,589053.0
2022-10-10,579762.0
2022-10-11,606432.0
2022-10-12,675113.0
2022-10-13,754048.0
2022-10-14,760181.0
2022-10-17,818616.0
2022-10-18,809459.0
2022-10-19,831956.0
2022-10-20,770195.0
2022-10-21,772414.0
2022-10-24,771447.0
2022-10-25,773161.0
2022-10-26,837144.0
2022-10-27,770589.0
2022-10-28,734255.0
2022-10-31,735565.0
2022-11-01,704122.0
2022-11-02,699480.0
2022-11-03,686599.0
2022-11-04,698246.0
2022-11-07,690250.0
2022-11-08,696297.0
2022-11-09,672240.0
2022-11-10,668507.0
2022-11-11,697118.0
