trading_date,OI_total_oi
2018-01-12,378038.0
2018-01-15,391006.0
2018-01-16,388790.0
2018-01-17,387650.0
2018-01-18,399296.0
2018-01-19,413438.0
2018-01-22,419846.0
2018-01-23,425410.0
2018-01-24,425882.0
2018-01-25,430438.0
2018-01-26,434208.0
2018-01-29,438044.0
2018-01-30,443964.0
2018-01-31,436834.0
2018-02-01,436816.0
2018-02-02,444622.0
2018-02-05,448834.0
2018-02-06,446658.0
2018-02-07,455854.0
2018-02-08,453762.0
2018-02-09,458016.0
2018-02-12,457850.0
2018-02-13,450476.0
2018-02-14,445114.0
2018-02-22,441202.0
2018-02-23,438130.0
2018-02-26,434086.0
2018-02-27,433164.0
2018-02-28,439512.0
2018-03-01,442880.0
2018-03-02,433868.0
2018-03-05,445956.0
2018-03-06,450332.0
2018-03-07,455968.0
2018-03-08,455368.0
2018-03-09,449898.0
2018-03-12,455376.0
2018-03-13,474382.0
2018-03-14,480756.0
2018-03-15,481494.0
2018-03-16,484130.0
2018-03-19,503430.0
2018-03-20,505516.0
2018-03-21,500522.0
2018-03-22,501964.0
2018-03-23,488030.0
2018-03-26,472004.0
2018-03-27,479532.0
2018-03-28,479044.0
2018-03-29,481640.0
2018-03-30,474140.0
2018-04-02,465152.0
2018-04-03,456866.0
2018-04-04,445584.0
2018-04-09,440128.0
2018-04-10,434262.0
2018-04-11,423540.0
2018-04-12,421940.0
2018-04-13,420458.0
2018-04-16,415620.0
2018-04-17,414804.0
2018-04-18,412964.0
2018-04-19,414314.0
2018-04-20,412894.0
2018-04-23,419162.0
2018-04-24,423024.0
2018-04-25,423186.0
2018-04-26,419428.0
2018-04-27,408640.0
2018-05-02,412076.0
2018-05-03,419292.0
2018-05-04,428224.0
2018-05-07,438738.0
2018-05-08,443280.0
2018-05-09,483490.0
2018-05-10,490582.0
2018-05-11,489866.0
2018-05-14,487842.0
2018-05-15,485344.0
2018-05-16,455164.0
2018-05-17,449450.0
2018-05-18,476520.0
2018-05-21,539454.0
2018-05-22,578906.0
2018-05-23,588710.0
2018-05-24,628992.0
2018-05-25,632918.0
2018-05-28,632862.0
2018-05-29,682424.0
2018-05-30,755974.0
2018-05-31,821860.0
2018-06-01,833670.0
2018-06-04,823846.0
2018-06-05,738242.0
2018-06-06,736782.0
2018-06-07,740360.0
2018-06-08,710244.0
2018-06-11,690770.0
2018-06-12,688596.0
2018-06-13,672294.0
2018-06-14,668984.0
2018-06-15,672608.0
2018-06-19,608116.0
2018-06-20,599382.0
2018-06-21,600992.0
2018-06-22,587704.0
2018-06-25,583332.0
2018-06-26,573016.0
2018-06-27,553072.0
2018-06-28,557124.0
2018-06-29,562532.0
2018-07-02,556984.0
2018-07-03,559812.0
2018-07-04,558732.0
2018-07-05,557814.0
2018-07-06,559134.0
2018-07-09,562678.0
2018-07-10,567588.0
2018-07-11,571290.0
2018-07-12,575216.0
2018-07-13,576790.0
2018-07-16,577896.0
2018-07-17,573870.0
2018-07-18,574004.0
2018-07-19,568546.0
2018-07-20,567490.0
2018-07-23,556956.0
2018-07-24,560208.0
2018-07-25,558158.0
2018-07-26,567796.0
2018-07-27,569254.0
2018-07-30,579196.0
2018-07-31,586004.0
2018-08-01,571726.0
