trading_date,MA_total_oi
2018-01-29,761030.0
2018-01-30,773890.0
2018-01-31,797896.0
2018-02-01,773950.0
2018-02-02,778636.0
2018-02-05,766148.0
2018-02-06,740398.0
2018-02-07,732632.0
2018-02-08,722040.0
2018-02-09,667918.0
2018-02-12,717116.0
2018-02-13,675294.0
2018-02-14,631716.0
2018-02-22,640024.0
2018-02-23,658396.0
2018-02-26,788062.0
2018-02-27,833206.0
2018-02-28,803832.0
2018-03-01,907842.0
2018-03-02,837256.0
2018-03-05,845180.0
2018-03-06,844138.0
2018-03-07,842332.0
2018-03-08,884880.0
2018-03-09,858418.0
2018-03-12,804158.0
2018-03-13,779620.0
2018-03-14,785478.0
2018-03-15,765248.0
2018-03-16,753334.0
2018-03-19,777838.0
2018-03-20,734060.0
2018-03-21,729036.0
2018-03-22,777614.0
2018-03-23,694236.0
2018-03-26,713760.0
2018-03-27,726292.0
2018-03-28,719346.0
2018-03-29,744814.0
2018-03-30,685610.0
2018-04-02,736716.0
2018-04-03,734628.0
2018-04-04,698020.0
2018-04-09,725834.0
2018-04-10,759878.0
2018-04-11,720250.0
2018-04-12,714196.0
2018-04-13,709388.0
2018-04-16,747928.0
2018-04-17,733552.0
2018-04-18,821992.0
2018-04-19,774602.0
2018-04-20,789876.0
2018-04-23,713468.0
2018-04-24,802150.0
2018-04-25,775736.0
2018-04-26,745328.0
2018-04-27,743164.0
2018-05-02,816604.0
2018-05-03,831090.0
2018-05-04,990372.0
2018-05-07,982480.0
2018-05-08,976780.0
2018-05-09,1043676.0
2018-05-10,1020934.0
2018-05-11,1056688.0
2018-05-14,1042728.0
2018-05-15,1030922.0
2018-05-16,1120696.0
2018-05-17,1063472.0
2018-05-18,1070908.0
2018-05-21,1030820.0
2018-05-22,984498.0
2018-05-23,921866.0
2018-05-24,907498.0
2018-05-25,869078.0
2018-05-28,803790.0
2018-05-29,779446.0
2018-05-30,822374.0
2018-05-31,811036.0
2018-06-01,908680.0
2018-06-04,852694.0
2018-06-05,831080.0
2018-06-06,782594.0
2018-06-07,946300.0
2018-06-08,905132.0
2018-06-11,954490.0
2018-06-12,946156.0
2018-06-13,920526.0
2018-06-14,910444.0
2018-06-15,891080.0
2018-06-19,829982.0
2018-06-20,800966.0
2018-06-21,809896.0
2018-06-22,782126.0
2018-06-25,781560.0
2018-06-26,815580.0
2018-06-27,747018.0
2018-06-28,779368.0
2018-06-29,807538.0
2018-07-02,806108.0
2018-07-03,771728.0
2018-07-04,935072.0
2018-07-05,929044.0
2018-07-06,980478.0
2018-07-09,889420.0
2018-07-10,935468.0
2018-07-11,905552.0
2018-07-12,935508.0
2018-07-13,885814.0
2018-07-16,877086.0
2018-07-17,823386.0
2018-07-18,800984.0
2018-07-19,889104.0
2018-07-20,844066.0
2018-07-23,872892.0
2018-07-24,925610.0
2018-07-25,906388.0
2018-07-26,860236.0
2018-07-27,823494.0
2018-07-30,903360.0
2018-07-31,822226.0
2018-08-01,830658.0
2018-08-02,870578.0
2018-08-03,960300.0
2018-08-06,944426.0
2018-08-07,883878.0
2018-08-08,894240.0
2018-08-09,838244.0
2018-08-10,879686.0
2018-08-13,808208.0
2018-08-14,1016470.0
2018-08-15,938644.0
2018-08-16,1052886.0
2018-08-17,960526.0
2018-08-20,1088588.0
2018-08-21,978974.0
2018-08-22,1170962.0
2018-08-23,965628.0
2018-08-24,907786.0
2018-08-27,886346.0
2018-08-28,924908.0
2018-08-29,885122.0
2018-08-30,892008.0
2018-08-31,869870.0
2018-09-03,873080.0
2018-09-04,865360.0
2018-09-05,901504.0
2018-09-06,838650.0
2018-09-07,971788.0
2018-09-10,912446.0
2018-09-11,919854.0
2018-09-12,862058.0
2018-09-13,781236.0
2018-09-14,795994.0
2018-09-17,957422.0
2018-09-18,826228.0
2018-09-19,906428.0
2018-09-20,795814.0
2018-09-21,821272.0
2018-09-25,766510.0
2018-09-26,827262.0
2018-09-27,671736.0
2018-09-28,750864.0
2018-10-08,673258.0
2018-10-09,903118.0
2018-10-10,856108.0
2018-10-11,911738.0
2018-10-12,1052344.0
2018-10-15,1021486.0
2018-10-16,970608.0
2018-10-17,862858.0
2018-10-18,1031400.0
2018-10-19,971120.0
2018-10-22,1005024.0
2018-10-23,948274.0
2018-10-24,1019694.0
2018-10-25,1060896.0
2018-10-26,1028012.0
2018-10-29,1239612.0
2018-10-30,1087082.0
2018-10-31,1209074.0
2018-11-01,1251172.0
2018-11-02,1104576.0
2018-11-05,1028844.0
2018-11-06,1318778.0
2018-11-07,1292748.0
2018-11-08,1264720.0
2018-11-09,1179976.0
2018-11-12,1317908.0
2018-11-13,1173602.0
2018-11-14,1412648.0
2018-11-15,1222872.0
2018-11-16,1325558.0
2018-11-19,1233334.0
2018-11-20,1369918.0
2018-11-21,1311370.0
2018-11-22,1504024.0
2018-11-23,1423036.0
2018-11-26,1330024.0
2018-11-27,1324496.0
2018-11-28,1292968.0
2018-11-29,1303424.0
2018-11-30,1443764.0
2018-12-03,1688472.0
2018-12-04,1479546.0
2018-12-05,1534942.0
2018-12-06,1371510.0
2018-12-07,1398668.0
2018-12-10,1268920.0
2018-12-11,1306106.0
2018-12-12,1422500.0
2018-12-13,1228028.0
2018-12-14,1187180.0
2018-12-17,1138660.0
2018-12-18,1172852.0
2018-12-19,1163180.0
2018-12-20,1101436.0
2018-12-21,1254904.0
2018-12-24,1282690.0
2018-12-25,1279542.0
2018-12-26,1157930.0
2018-12-27,1275766.0
2018-12-28,1104698.0
2019-01-02,1128234.0
2019-01-03,1144210.0
2019-01-04,1201914.0
2019-01-07,1096656.0
2019-01-08,1103366.0
2019-01-09,1095042.0
2019-01-10,1155492.0
2019-01-11,1099922.0
2019-01-14,1218148.0
2019-01-15,1126200.0
2019-01-16,1266620.0
2019-01-17,1221252.0
2019-01-18,1426962.0
2019-01-21,1516456.0
2019-01-22,1488332.0
2019-01-23,1477064.0
2019-01-24,1441132.0
2019-01-25,1405304.0
2019-01-28,1353162.0
2019-01-29,1533752.0
2019-01-30,1361080.0
2019-01-31,1175198.0
2019-02-01,1062540.0
2019-02-11,1072964.0
2019-02-12,1400950.0
2019-02-13,1409946.0
2019-02-14,1563358.0
2019-02-15,1894332.0
2019-02-18,1989090.0
2019-02-19,1870252.0
2019-02-20,1739140.0
2019-02-21,1646982.0
2019-02-22,1554452.0
2019-02-25,1668204.0
2019-02-26,1650792.0
2019-02-27,1447922.0
2019-02-28,1467178.0
2019-03-01,1692992.0
2019-03-04,1790252.0
