trading_date,ZC_total_oi
2018-08-10,417922.0
2018-08-13,415640.0
2018-08-14,399642.0
2018-08-15,397452.0
2018-08-16,381642.0
2018-08-17,366526.0
2018-08-20,389050.0
2018-08-21,373880.0
2018-08-22,363084.0
2018-08-23,349808.0
2018-08-24,362736.0
2018-08-27,359406.0
2018-08-28,362768.0
2018-08-29,358236.0
2018-08-30,362812.0
2018-08-31,347312.0
2018-09-03,356886.0
2018-09-04,354232.0
2018-09-05,344072.0
2018-09-06,357210.0
2018-09-07,363192.0
2018-09-10,379404.0
2018-09-11,352752.0
2018-09-12,358576.0
2018-09-13,354604.0
2018-09-14,360144.0
2018-09-17,362212.0
2018-09-18,351888.0
2018-09-19,353240.0
2018-09-20,377840.0
2018-09-21,359330.0
2018-09-25,339452.0
2018-09-26,321988.0
2018-09-27,311142.0
2018-09-28,296664.0
2018-10-08,313008.0
2018-10-09,364584.0
2018-10-10,372336.0
2018-10-11,343888.0
2018-10-12,348830.0
2018-10-15,349788.0
2018-10-16,356042.0
2018-10-17,366010.0
2018-10-18,344378.0
2018-10-19,337680.0
2018-10-22,327086.0
2018-10-23,324450.0
2018-10-24,322394.0
2018-10-25,310406.0
2018-10-26,321284.0
2018-10-29,318486.0
2018-10-30,321056.0
2018-10-31,340494.0
2018-11-01,332410.0
2018-11-02,341784.0
2018-11-05,343640.0
2018-11-06,337964.0
2018-11-07,353770.0
2018-11-08,338898.0
2018-11-09,335136.0
2018-11-12,347514.0
2018-11-13,434296.0
2018-11-14,382436.0
2018-11-15,385176.0
2018-11-16,375950.0
2018-11-19,382640.0
2018-11-20,379432.0
2018-11-21,380704.0
2018-11-22,382632.0
2018-11-23,386706.0
2018-11-26,418054.0
2018-11-27,413468.0
2018-11-28,416806.0
2018-11-29,444562.0
2018-11-30,452946.0
2018-12-03,430036.0
2018-12-04,431956.0
2018-12-05,436696.0
2018-12-06,437248.0
2018-12-07,427330.0
2018-12-10,433576.0
2018-12-11,421418.0
2018-12-12,419932.0
2018-12-13,407466.0
2018-12-14,411722.0
2018-12-17,406128.0
2018-12-18,429860.0
2018-12-19,417854.0
2018-12-20,413242.0
2018-12-21,407822.0
2018-12-24,413150.0
2018-12-25,436136.0
2018-12-26,449176.0
2018-12-27,432566.0
2018-12-28,426744.0
2019-01-02,440632.0
2019-01-03,451032.0
2019-01-04,447176.0
2019-01-07,460936.0
2019-01-08,448022.0
2019-01-09,439938.0
2019-01-10,446738.0
2019-01-11,444558.0
2019-01-14,433522.0
2019-01-15,416188.0
2019-01-16,437062.0
2019-01-17,434162.0
2019-01-18,442876.0
2019-01-21,454708.0
2019-01-22,430304.0
2019-01-23,413396.0
2019-01-24,416392.0
2019-01-25,388264.0
2019-01-28,379146.0
2019-01-29,377120.0
2019-01-30,377308.0
2019-01-31,376742.0
2019-02-01,366152.0
2019-02-11,361034.0
2019-02-12,376488.0
2019-02-13,396396.0
2019-02-14,411150.0
2019-02-15,428148.0
2019-02-18,439776.0
2019-02-19,436238.0
2019-02-20,433238.0
2019-02-21,415208.0
2019-02-22,424826.0
2019-02-25,430886.0
2019-02-26,432878.0
2019-02-27,485632.0
2019-02-28,482442.0
2019-03-01,517260.0
2019-03-04,505966.0
2019-03-05,518070.0
2019-03-06,514512.0
2019-03-07,505176.0
2019-03-08,480548.0
2019-03-11,456558.0
2019-03-12,460192.0
2019-03-13,457056.0
2019-03-14,459756.0
2019-03-15,466704.0
2019-03-18,452092.0
2019-03-19,452592.0
2019-03-20,483300.0
2019-03-21,490412.0
2019-03-22,479968.0
2019-03-25,463012.0
2019-03-26,474234.0
2019-03-27,466082.0
2019-03-28,461520.0
2019-03-29,448996.0
2019-04-01,465414.0
2019-04-02,453916.0
2019-04-03,470266.0
2019-04-04,472756.0
2019-04-08,470578.0
2019-04-09,477776.0
2019-04-10,464032.0
2019-04-11,465090.0
2019-04-12,462492.0
2019-04-15,454734.0
2019-04-16,428496.0
2019-04-17,403230.0
2019-04-18,387644.0
2019-04-19,376988.0
2019-04-22,369998.0
2019-04-23,401594.0
2019-04-24,428876.0
2019-04-25,422042.0
2019-04-26,419548.0
2019-04-29,409166.0
2019-04-30,421728.0
2019-05-06,401932.0
2019-05-07,406540.0
2019-05-08,407920.0
2019-05-09,398820.0
2019-05-10,401712.0
2019-05-13,402954.0
2019-05-14,400802.0
2019-05-15,406280.0
2019-05-16,412486.0
2019-05-17,427856.0
2019-05-20,427916.0
2019-05-21,447064.0
2019-05-22,457194.0
2019-05-23,446746.0
2019-05-24,463816.0
2019-05-27,465756.0
2019-05-28,457064.0
2019-05-29,484792.0
2019-05-30,482488.0
2019-05-31,515002.0
2019-06-03,496352.0
2019-06-04,487420.0
2019-06-05,492026.0
2019-06-06,463778.0
2019-06-10,461876.0
2019-06-11,464540.0
2019-06-12,459972.0
2019-06-13,460566.0
2019-06-14,459928.0
2019-06-17,453446.0
2019-06-18,452156.0
2019-06-19,437148.0
2019-06-20,425086.0
2019-06-21,438884.0
2019-06-24,462768.0
2019-06-25,471606.0
2019-06-26,417034.0
2019-06-27,400526.0
2019-06-28,403014.0
2019-07-01,397802.0
2019-07-02,387686.0
2019-07-03,394728.0
2019-07-04,407900.0
2019-07-05,386368.0
2019-07-08,370408.0
2019-07-09,391198.0
2019-07-10,397026.0
2019-07-11,397440.0
2019-07-12,398390.0
2019-07-15,415488.0
2019-07-16,414532.0
2019-07-17,445400.0
2019-07-18,438818.0
2019-07-19,414562.0
2019-07-22,411340.0
2019-07-23,405090.0
2019-07-24,403276.0
2019-07-25,414694.0
2019-07-26,410498.0
2019-07-29,408682.0
2019-07-30,414322.0
2019-07-31,417090.0
2019-08-01,433098.0
2019-08-02,448686.0
2019-08-05,473406.0
2019-08-06,468024.0
2019-08-07,466994.0
2019-08-08,473594.0
2019-08-09,478540.0
2019-08-12,476434.0
2019-08-13,497814.0
2019-08-14,476020.0
2019-08-15,460998.0
2019-08-16,438016.0
2019-08-19,418840.0
2019-08-20,406204.0
2019-08-21,401866.0
2019-08-22,390366.0
2019-08-23,394164.0
2019-08-26,392046.0
2019-08-27,396538.0
2019-08-28,403458.0
2019-08-29,411128.0
2019-08-30,400206.0
2019-09-02,402706.0
2019-09-03,399452.0
2019-09-04,412712.0
2019-09-05,422876.0
2019-09-06,431140.0
2019-09-09,415594.0
2019-09-10,419004.0
2019-09-11,419144.0
2019-09-12,409704.0
2019-09-16,415718.0
2019-09-17,399136.0
2019-09-18,408502.0
2019-09-19,404448.0
2019-09-20,390124.0
2019-09-23,389982.0
2019-09-24,380656.0
2019-09-25,355206.0
2019-09-26,345016.0
2019-09-27,360280.0
2019-09-30,342228.0
2019-10-08,373396.0
2019-10-09,391554.0
2019-10-10,413654.0
2019-10-11,407786.0
2019-10-14,455980.0
2019-10-15,507616.0
2019-10-16,520610.0
2019-10-17,517006.0
2019-10-18,507246.0
2019-10-21,497358.0
2019-10-22,494740.0
2019-10-23,522952.0
2019-10-24,537822.0
2019-10-25,513520.0
2019-10-28,483456.0
2019-10-29,500616.0
2019-10-30,513836.0
2019-10-31,620190.0
2019-11-01,619780.0
2019-11-04,619024.0
2019-11-05,604340.0
2019-11-06,613668.0
2019-11-07,599318.0
2019-11-08,583910.0
2019-11-11,581878.0
2019-11-12,572258.0
2019-11-13,573020.0
2019-11-14,562750.0
2019-11-15,555264.0
2019-11-18,550686.0
2019-11-19,543704.0
2019-11-20,542038.0
2019-11-21,546630.0
2019-11-22,543600.0
2019-11-25,543030.0
2019-11-26,530386.0
2019-11-27,544092.0
2019-11-28,542082.0
