trading_date,L_total_oi
2017-05-19,524904.0
2017-05-22,497946.0
2017-05-23,496642.0
2017-05-24,469534.0
2017-05-25,466240.0
2017-05-26,453920.0
2017-05-31,444910.0
2017-06-01,478132.0
2017-06-02,465718.0
2017-06-05,496162.0
2017-06-06,497312.0
2017-06-07,523826.0
2017-06-08,510662.0
2017-06-09,514828.0
2017-06-12,522164.0
2017-06-13,514364.0
2017-06-14,502808.0
2017-06-15,524886.0
2017-06-16,539362.0
2017-06-19,540474.0
2017-06-20,529862.0
2017-06-21,540546.0
2017-06-22,576618.0
2017-06-23,561952.0
2017-06-26,531048.0
2017-06-27,515800.0
2017-06-28,527162.0
2017-06-29,518964.0
2017-06-30,522746.0
2017-07-03,538424.0
2017-07-04,550278.0
2017-07-05,555698.0
2017-07-06,537064.0
2017-07-07,525346.0
2017-07-10,550280.0
2017-07-11,551214.0
2017-07-12,567614.0
2017-07-13,595632.0
2017-07-14,594882.0
2017-07-17,594384.0
2017-07-18,596500.0
2017-07-19,577480.0
2017-07-20,643012.0
2017-07-21,669218.0
2017-07-24,684628.0
2017-07-25,665092.0
2017-07-26,645766.0
2017-07-27,643548.0
2017-07-28,608442.0
2017-07-31,624720.0
2017-08-01,654256.0
2017-08-02,657816.0
2017-08-03,646102.0
2017-08-04,656268.0
2017-08-07,628434.0
2017-08-08,665912.0
2017-08-09,640924.0
2017-08-10,633586.0
2017-08-11,568800.0
2017-08-14,578654.0
2017-08-15,535656.0
2017-08-16,541088.0
2017-08-17,535690.0
2017-08-18,537052.0
2017-08-21,549662.0
2017-08-22,614042.0
2017-08-23,611922.0
2017-08-24,588770.0
2017-08-25,608796.0
2017-08-28,571840.0
2017-08-29,595682.0
2017-08-30,560756.0
2017-08-31,613380.0
2017-09-01,593938.0
2017-09-04,593366.0
2017-09-05,565492.0
2017-09-06,577506.0
2017-09-07,555750.0
2017-09-08,570356.0
2017-09-11,521856.0
2017-09-12,531856.0
2017-09-13,520412.0
2017-09-14,506542.0
2017-09-15,495114.0
2017-09-18,491332.0
2017-09-19,467992.0
2017-09-20,500584.0
2017-09-21,500104.0
2017-09-22,509188.0
2017-09-25,491846.0
2017-09-26,494500.0
2017-09-27,469190.0
2017-09-28,455446.0
2017-09-29,448780.0
2017-10-09,459088.0
2017-10-10,470980.0
2017-10-11,504328.0
2017-10-12,481400.0
2017-10-13,474122.0
2017-10-16,464898.0
2017-10-17,499756.0
2017-10-18,467954.0
2017-10-19,464620.0
2017-10-20,482500.0
2017-10-23,493076.0
2017-10-24,495762.0
2017-10-25,513718.0
2017-10-26,509536.0
2017-10-27,474360.0
2017-10-30,478712.0
2017-10-31,490656.0
2017-11-01,498166.0
2017-11-02,505522.0
2017-11-03,503800.0
2017-11-06,480498.0
2017-11-07,505310.0
2017-11-08,500182.0
2017-11-09,510572.0
2017-11-10,506172.0
2017-11-13,507938.0
2017-11-14,505038.0
2017-11-15,478648.0
2017-11-16,492342.0
2017-11-17,485518.0
2017-11-20,493376.0
2017-11-21,488718.0
2017-11-22,496750.0
2017-11-23,492618.0
2017-11-24,491260.0
2017-11-27,503254.0
2017-11-28,513518.0
2017-11-29,512146.0
2017-11-30,545052.0
2017-12-01,545864.0
2017-12-04,524842.0
2017-12-05,525758.0
2017-12-06,501754.0
2017-12-07,519572.0
2017-12-08,506774.0
2017-12-11,523158.0
2017-12-12,500908.0
2017-12-13,523666.0
2017-12-14,503312.0
2017-12-15,530220.0
2017-12-18,501350.0
2017-12-19,520856.0
2017-12-20,491538.0
2017-12-21,486634.0
2017-12-22,466070.0
2017-12-25,432394.0
2017-12-26,551500.0
2017-12-27,521540.0
2017-12-28,528146.0
2017-12-29,521582.0
2018-01-02,635424.0
2018-01-03,605880.0
2018-01-04,598612.0
2018-01-05,597438.0
2018-01-08,589690.0
2018-01-09,593352.0
2018-01-10,597746.0
2018-01-11,627408.0
2018-01-12,683172.0
2018-01-15,649064.0
2018-01-16,567912.0
2018-01-17,540154.0
2018-01-18,532498.0
2018-01-19,541118.0
2018-01-22,545868.0
2018-01-23,572066.0
2018-01-24,553606.0
2018-01-25,555438.0
2018-01-26,564748.0
2018-01-29,545052.0
2018-01-30,543858.0
2018-01-31,524336.0
2018-02-01,512884.0
2018-02-02,520298.0
2018-02-05,520484.0
2018-02-06,510838.0
2018-02-07,525186.0
2018-02-08,513014.0
2018-02-09,501108.0
2018-02-12,517120.0
2018-02-13,492456.0
2018-02-14,484492.0
2018-02-22,490452.0
2018-02-23,507746.0
2018-02-26,530786.0
2018-02-27,555002.0
2018-02-28,552640.0
2018-03-01,592612.0
2018-03-02,563974.0
2018-03-05,555624.0
2018-03-06,568552.0
2018-03-07,553488.0
2018-03-08,587650.0
2018-03-09,550242.0
2018-03-12,569158.0
2018-03-13,550502.0
2018-03-14,537204.0
2018-03-15,546302.0
2018-03-16,551942.0
2018-03-19,577560.0
2018-03-20,598466.0
2018-03-21,578310.0
2018-03-22,592066.0
2018-03-23,563314.0
2018-03-26,585670.0
2018-03-27,567946.0
2018-03-28,567792.0
2018-03-29,565416.0
2018-03-30,558528.0
2018-04-02,521020.0
2018-04-03,510358.0
2018-04-04,507936.0
2018-04-09,490962.0
2018-04-10,488342.0
2018-04-11,487660.0
2018-04-12,470988.0
2018-04-13,483642.0
2018-04-16,494858.0
2018-04-17,466880.0
2018-04-18,474410.0
2018-04-19,468124.0
2018-04-20,520432.0
2018-04-23,504618.0
2018-04-24,495554.0
2018-04-25,489404.0
2018-04-26,474792.0
2018-04-27,473574.0
2018-05-02,486196.0
2018-05-03,500314.0
2018-05-04,506010.0
2018-05-07,514338.0
2018-05-08,506622.0
2018-05-09,507622.0
2018-05-10,502128.0
2018-05-11,497324.0
2018-05-14,510420.0
2018-05-15,499116.0
2018-05-16,501930.0
2018-05-17,508098.0
2018-05-18,490386.0
2018-05-21,499452.0
2018-05-22,501366.0
2018-05-23,492472.0
2018-05-24,509638.0
2018-05-25,509578.0
2018-05-28,516534.0
2018-05-29,524386.0
2018-05-30,529260.0
2018-05-31,554672.0
2018-06-01,533134.0
2018-06-04,527848.0
2018-06-05,530658.0
2018-06-06,536276.0
2018-06-07,534572.0
2018-06-08,526378.0
2018-06-11,537822.0
2018-06-12,530136.0
2018-06-13,531512.0
2018-06-14,554838.0
2018-06-15,549502.0
2018-06-19,578868.0
2018-06-20,572598.0
2018-06-21,604330.0
2018-06-22,632920.0
2018-06-25,619450.0
2018-06-26,585916.0
2018-06-27,571238.0
2018-06-28,562108.0
2018-06-29,562070.0
2018-07-02,553428.0
2018-07-03,560204.0
2018-07-04,539606.0
2018-07-05,549628.0
2018-07-06,540708.0
2018-07-09,538540.0
2018-07-10,532622.0
2018-07-11,523324.0
2018-07-12,524648.0
2018-07-13,516074.0
2018-07-16,506626.0
2018-07-17,508904.0
2018-07-18,496804.0
2018-07-19,518216.0
2018-07-20,512990.0
2018-07-23,498910.0
2018-07-24,508692.0
2018-07-25,498552.0
2018-07-26,532854.0
2018-07-27,523364.0
2018-07-30,548916.0
2018-07-31,543632.0
2018-08-01,528870.0
