trading_date,V_total_oi
2017-11-15,364316.0
2017-11-16,389378.0
2017-11-17,368282.0
2017-11-20,367918.0
2017-11-21,393214.0
2017-11-22,374650.0
2017-11-23,357466.0
2017-11-24,356588.0
2017-11-27,340920.0
2017-11-28,340292.0
2017-11-29,344128.0
2017-11-30,329790.0
2017-12-01,331374.0
2017-12-04,334790.0
2017-12-05,304316.0
2017-12-06,322798.0
2017-12-07,293002.0
2017-12-08,390918.0
2017-12-11,391230.0
2017-12-12,394858.0
2017-12-13,357492.0
2017-12-14,367698.0
2017-12-15,359244.0
2017-12-18,369428.0
2017-12-19,381650.0
2017-12-20,381470.0
2017-12-21,343208.0
2017-12-22,335148.0
2017-12-25,320180.0
2017-12-26,340688.0
2017-12-27,322086.0
2017-12-28,316590.0
2017-12-29,316678.0
2018-01-02,350270.0
2018-01-03,355998.0
2018-01-04,368476.0
2018-01-05,364152.0
2018-01-08,367000.0
2018-01-09,373052.0
2018-01-10,367344.0
2018-01-11,367484.0
2018-01-12,373684.0
2018-01-15,366392.0
2018-01-16,318884.0
2018-01-17,294446.0
2018-01-18,293756.0
2018-01-19,293428.0
2018-01-22,277920.0
2018-01-23,291206.0
2018-01-24,304050.0
2018-01-25,303056.0
2018-01-26,361968.0
2018-01-29,335530.0
2018-01-30,312026.0
2018-01-31,338056.0
2018-02-01,295910.0
2018-02-02,302352.0
2018-02-05,300374.0
2018-02-06,286568.0
2018-02-07,289194.0
2018-02-08,273522.0
2018-02-09,284726.0
2018-02-12,297504.0
2018-02-13,272538.0
2018-02-14,307752.0
2018-02-22,305362.0
2018-02-23,328938.0
2018-02-26,320526.0
2018-02-27,335654.0
2018-02-28,319542.0
2018-03-01,328740.0
2018-03-02,318172.0
2018-03-05,326686.0
2018-03-06,330240.0
2018-03-07,336102.0
2018-03-08,373202.0
2018-03-09,347824.0
2018-03-12,403684.0
2018-03-13,413742.0
2018-03-14,402170.0
2018-03-15,420204.0
2018-03-16,411860.0
2018-03-19,414804.0
2018-03-20,453508.0
2018-03-21,430040.0
2018-03-22,402588.0
2018-03-23,384640.0
2018-03-26,385274.0
2018-03-27,377928.0
2018-03-28,413550.0
2018-03-29,402966.0
2018-03-30,368294.0
2018-04-02,356444.0
2018-04-03,342124.0
2018-04-04,334494.0
2018-04-09,338560.0
2018-04-10,334160.0
2018-04-11,337542.0
2018-04-12,333942.0
2018-04-13,344386.0
2018-04-16,344526.0
2018-04-17,344238.0
2018-04-18,343266.0
2018-04-19,350800.0
2018-04-20,345188.0
2018-04-23,340372.0
2018-04-24,343760.0
2018-04-25,332912.0
2018-04-26,345660.0
2018-04-27,372764.0
2018-05-02,360542.0
2018-05-03,355256.0
2018-05-04,346778.0
2018-05-07,355000.0
2018-05-08,367902.0
2018-05-09,367044.0
2018-05-10,358956.0
2018-05-11,350480.0
2018-05-14,350714.0
2018-05-15,341558.0
2018-05-16,331246.0
2018-05-17,340026.0
2018-05-18,325972.0
2018-05-21,317220.0
2018-05-22,321950.0
2018-05-23,325268.0
2018-05-24,328126.0
2018-05-25,328450.0
2018-05-28,333550.0
2018-05-29,330944.0
2018-05-30,327012.0
2018-05-31,323530.0
2018-06-01,325754.0
