trading_date,HC_total_oi
2019-06-06,914986.0
2019-06-10,952122.0
2019-06-11,922546.0
2019-06-12,917248.0
2019-06-13,910230.0
2019-06-14,901360.0
2019-06-17,926374.0
2019-06-18,929212.0
2019-06-19,905446.0
2019-06-20,893910.0
2019-06-21,911294.0
2019-06-24,992292.0
2019-06-25,1024792.0
2019-06-26,1047078.0
2019-06-27,1007304.0
2019-06-28,1008356.0
2019-07-01,988050.0
2019-07-02,924480.0
2019-07-03,885874.0
2019-07-04,871620.0
2019-07-05,841418.0
2019-07-08,825552.0
2019-07-09,825076.0
2019-07-10,827682.0
2019-07-11,823966.0
2019-07-12,832650.0
2019-07-15,828212.0
2019-07-16,852388.0
2019-07-17,833746.0
2019-07-18,806548.0
2019-07-19,783402.0
2019-07-22,758828.0
2019-07-23,776016.0
2019-07-24,778020.0
2019-07-25,770802.0
2019-07-26,774870.0
2019-07-29,816920.0
2019-07-30,838830.0
2019-07-31,809420.0
2019-08-01,808130.0
2019-08-02,799732.0
2019-08-05,789610.0
2019-08-06,798880.0
2019-08-07,797914.0
2019-08-08,795332.0
2019-08-09,791194.0
2019-08-12,758592.0
2019-08-13,745052.0
2019-08-14,737618.0
2019-08-15,735426.0
2019-08-16,725758.0
2019-08-19,698890.0
2019-08-20,714288.0
2019-08-21,722256.0
2019-08-22,730126.0
2019-08-23,730492.0
2019-08-26,752032.0
2019-08-27,808250.0
2019-08-28,813582.0
2019-08-29,819444.0
2019-08-30,799880.0
2019-09-02,797808.0
2019-09-03,793106.0
2019-09-04,787366.0
2019-09-05,819632.0
2019-09-06,831986.0
2019-09-09,803502.0
2019-09-10,819652.0
2019-09-11,825070.0
2019-09-12,797008.0
2019-09-16,795638.0
2019-09-17,767344.0
2019-09-18,766084.0
2019-09-19,753002.0
2019-09-20,763080.0
2019-09-23,732058.0
2019-09-24,732982.0
2019-09-25,745278.0
2019-09-26,739056.0
2019-09-27,710928.0
2019-09-30,684430.0
2019-10-08,677244.0
2019-10-09,709950.0
2019-10-10,730472.0
2019-10-11,803544.0
2019-10-14,819088.0
2019-10-15,855340.0
2019-10-16,887798.0
2019-10-17,882764.0
2019-10-18,889198.0
2019-10-21,891544.0
2019-10-22,900482.0
2019-10-23,894568.0
2019-10-24,919358.0
2019-10-25,901732.0
2019-10-28,886394.0
2019-10-29,890784.0
2019-10-30,880558.0
2019-10-31,876672.0
2019-11-01,892584.0
2019-11-04,902298.0
2019-11-05,884448.0
2019-11-06,890820.0
2019-11-07,906150.0
2019-11-08,915644.0
2019-11-11,933334.0
2019-11-12,919040.0
2019-11-13,915948.0
2019-11-14,902894.0
2019-11-15,878090.0
2019-11-18,878182.0
2019-11-19,889054.0
2019-11-20,884134.0
2019-11-21,883340.0
2019-11-22,886772.0
2019-11-25,868040.0
2019-11-26,860720.0
2019-11-27,853794.0
2019-11-28,849994.0
2019-11-29,841988.0
2019-12-02,861402.0
2019-12-03,860502.0
2019-12-04,850876.0
2019-12-05,848540.0
2019-12-06,865342.0
2019-12-09,848114.0
2019-12-10,855786.0
2019-12-11,859678.0
2019-12-12,921938.0
2019-12-13,916386.0
2019-12-16,896408.0
2019-12-17,907290.0
2019-12-18,915394.0
2019-12-19,909184.0
2019-12-20,867586.0
2019-12-23,867912.0
2019-12-24,835872.0
2019-12-25,834216.0
2019-12-26,768968.0
2019-12-27,752426.0
2019-12-30,731376.0
2019-12-31,727396.0
2020-01-02,341025.0
2020-01-03,332688.0
2020-01-06,333680.0
2020-01-07,332786.0
2020-01-08,349849.0
2020-01-09,346000.0
2020-01-10,345000.0
2020-01-13,331373.0
2020-01-14,332414.0
2020-01-15,334463.0
2020-01-16,331436.0
2020-01-17,351692.0
2020-01-20,352554.0
2020-01-21,326500.0
2020-01-22,311469.0
2020-01-23,306864.0
2020-02-03,295707.0
2020-02-04,281436.0
2020-02-05,290571.0
2020-02-06,306084.0
2020-02-07,314328.0
2020-02-10,328898.0
2020-02-11,330648.0
2020-02-12,337876.0
2020-02-13,338434.0
2020-02-14,343232.0
2020-02-17,347490.0
2020-02-18,353490.0
2020-02-19,361981.0
2020-02-20,357211.0
2020-02-21,358143.0
2020-02-24,376614.0
2020-02-25,381524.0
2020-02-26,373738.0
2020-02-27,378308.0
2020-02-28,369835.0
2020-03-02,379851.0
2020-03-03,383976.0
2020-03-04,394347.0
2020-03-05,404475.0
2020-03-06,404547.0
2020-03-09,383895.0
2020-03-10,376311.0
2020-03-11,387215.0
2020-03-12,381665.0
2020-03-13,389376.0
2020-03-16,391176.0
2020-03-17,384546.0
2020-03-18,393864.0
2020-03-19,419369.0
2020-03-20,440468.0
2020-03-23,500574.0
2020-03-24,490670.0
2020-03-25,519954.0
2020-03-26,587301.0
2020-03-27,586229.0
2020-03-30,633716.0
2020-03-31,642048.0
2020-04-01,699983.0
2020-04-02,651729.0
2020-04-03,676125.0
2020-04-07,683078.0
2020-04-08,649823.0
2020-04-09,628849.0
2020-04-10,591931.0
2020-04-13,572220.0
2020-04-14,584422.0
2020-04-15,572828.0
2020-04-16,551811.0
2020-04-17,536305.0
2020-04-20,529348.0
2020-04-21,521334.0
2020-04-22,521846.0
2020-04-23,531527.0
2020-04-24,519090.0
2020-04-27,517313.0
2020-04-28,516842.0
2020-04-29,504307.0
2020-04-30,494381.0
2020-05-06,497555.0
2020-05-07,519446.0
2020-05-08,516871.0
2020-05-11,532703.0
2020-05-12,531376.0
2020-05-13,531629.0
2020-05-14,539161.0
2020-05-15,544312.0
2020-05-18,520623.0
2020-05-19,527620.0
2020-05-20,531584.0
2020-05-21,531816.0
2020-05-22,530545.0
2020-05-25,512206.0
2020-05-26,511101.0
2020-05-27,512058.0
2020-05-28,525072.0
2020-05-29,562066.0
2020-06-01,571928.0
2020-06-02,570816.0
2020-06-03,558596.0
2020-06-04,542796.0
2020-06-05,538543.0
2020-06-08,543636.0
2020-06-09,547052.0
2020-06-10,532465.0
2020-06-11,539694.0
2020-06-12,580778.0
2020-06-15,559014.0
2020-06-16,565500.0
2020-06-17,577650.0
2020-06-18,659232.0
2020-06-19,690718.0
2020-06-22,662929.0
2020-06-23,631595.0
2020-06-24,597530.0
2020-06-29,593648.0
2020-06-30,615461.0
2020-07-01,620029.0
2020-07-02,634714.0
2020-07-03,627387.0
2020-07-06,613830.0
2020-07-07,638003.0
2020-07-08,658471.0
2020-07-09,646584.0
2020-07-10,642688.0
2020-07-13,638962.0
2020-07-14,647426.0
2020-07-15,651968.0
2020-07-16,631681.0
2020-07-17,624168.0
2020-07-20,619728.0
2020-07-21,620991.0
2020-07-22,614857.0
2020-07-23,635977.0
2020-07-24,603688.0
2020-07-27,604135.0
2020-07-28,609206.0
2020-07-29,626675.0
2020-07-30,651723.0
2020-07-31,657136.0
2020-08-03,687970.0
2020-08-04,694237.0
2020-08-05,694387.0
2020-08-06,684301.0
2020-08-07,679443.0
2020-08-10,674137.0
2020-08-11,670051.0
2020-08-12,669650.0
2020-08-13,693697.0
2020-08-14,693179.0
2020-08-17,710648.0
2020-08-18,739909.0
2020-08-19,723149.0
2020-08-20,689698.0
2020-08-21,694607.0
2020-08-24,667882.0
2020-08-25,653720.0
2020-08-26,625180.0
2020-08-27,627958.0
2020-08-28,631835.0
2020-08-31,649797.0
2020-09-01,663782.0
2020-09-02,657966.0
2020-09-03,641153.0
2020-09-04,623779.0
2020-09-07,587771.0
2020-09-08,588575.0
2020-09-09,571157.0
2020-09-10,564381.0
2020-09-11,568586.0
2020-09-14,564581.0
2020-09-15,558577.0
2020-09-16,556754.0
2020-09-17,554696.0
2020-09-18,539181.0
2020-09-21,532166.0
2020-09-22,521925.0
2020-09-23,508520.0
2020-09-24,504264.0
2020-09-25,481681.0
2020-09-28,469799.0
2020-09-29,453182.0
2020-09-30,425657.0
2020-10-09,422495.0
2020-10-12,442630.0
2020-10-13,451496.0
2020-10-14,465838.0
2020-10-15,468413.0
2020-10-16,470220.0
2020-10-19,475885.0
2020-10-20,471972.0
2020-10-21,489671.0
2020-10-22,509280.0
2020-10-23,504079.0
2020-10-26,506762.0
2020-10-27,507987.0
2020-10-28,525657.0
2020-10-29,525272.0
2020-10-30,526819.0
2020-11-02,527459.0
2020-11-03,524604.0
2020-11-04,529423.0
2020-11-05,525680.0
2020-11-06,532362.0
2020-11-09,538934.0
2020-11-10,533189.0
2020-11-11,539205.0
2020-11-12,534450.0
