trading_date,NI_total_oi
2019-05-30,548604.0
2019-05-31,537954.0
2019-06-03,541392.0
2019-06-04,539788.0
2019-06-05,554704.0
2019-06-06,560128.0
2019-06-10,551352.0
2019-06-11,575004.0
2019-06-12,568514.0
2019-06-13,602016.0
2019-06-14,582166.0
2019-06-17,573818.0
2019-06-18,552204.0
2019-06-19,548690.0
2019-06-20,548216.0
2019-06-21,526562.0
2019-06-24,500984.0
2019-06-25,478262.0
2019-06-26,476586.0
2019-06-27,504384.0
2019-06-28,483454.0
2019-07-01,451258.0
2019-07-02,424242.0
2019-07-03,422174.0
2019-07-04,406658.0
2019-07-05,397720.0
2019-07-08,424012.0
2019-07-09,433320.0
2019-07-10,478980.0
2019-07-11,530622.0
2019-07-12,537154.0
2019-07-15,570996.0
2019-07-16,584584.0
2019-07-17,604806.0
2019-07-18,639138.0
2019-07-19,651108.0
2019-07-22,622592.0
2019-07-23,568050.0
2019-07-24,578968.0
2019-07-25,603624.0
2019-07-26,582580.0
2019-07-29,582010.0
2019-07-30,606926.0
2019-07-31,607420.0
2019-08-01,602848.0
2019-08-02,633228.0
2019-08-05,733462.0
2019-08-06,747010.0
2019-08-07,784926.0
2019-08-08,803652.0
2019-08-09,794240.0
2019-08-12,749624.0
2019-08-13,791362.0
2019-08-14,780176.0
2019-08-15,788798.0
2019-08-16,823788.0
2019-08-19,823224.0
2019-08-20,807530.0
2019-08-21,813296.0
2019-08-22,809116.0
2019-08-23,829382.0
2019-08-26,845088.0
2019-08-27,886218.0
2019-08-28,893346.0
2019-08-29,960090.0
2019-08-30,1027430.0
2019-09-02,1012644.0
2019-09-03,797854.0
2019-09-04,802258.0
2019-09-05,773648.0
2019-09-06,769358.0
2019-09-09,780450.0
2019-09-10,791722.0
2019-09-11,780168.0
2019-09-12,762146.0
2019-09-16,733664.0
2019-09-17,722428.0
2019-09-18,720040.0
2019-09-19,724756.0
2019-09-20,755170.0
2019-09-23,755022.0
2019-09-24,757262.0
2019-09-25,766768.0
2019-09-26,797540.0
2019-09-27,789356.0
2019-09-30,763148.0
2019-10-08,820496.0
2019-10-09,820920.0
2019-10-10,842734.0
2019-10-11,866636.0
2019-10-14,866960.0
2019-10-15,878974.0
2019-10-16,856388.0
2019-10-17,872842.0
2019-10-18,845932.0
2019-10-21,858446.0
2019-10-22,874088.0
2019-10-23,857506.0
2019-10-24,835518.0
2019-10-25,814810.0
2019-10-28,798554.0
2019-10-29,772046.0
2019-10-30,765578.0
2019-10-31,766370.0
2019-11-01,779714.0
2019-11-04,780096.0
2019-11-05,792484.0
2019-11-06,794572.0
2019-11-07,785334.0
2019-11-08,772408.0
2019-11-11,794236.0
2019-11-12,796250.0
2019-11-13,781808.0
2019-11-14,783848.0
2019-11-15,814982.0
2019-11-18,793854.0
2019-11-19,810700.0
2019-11-20,796068.0
2019-11-21,785536.0
2019-11-22,781296.0
2019-11-25,744336.0
2019-11-26,725614.0
2019-11-27,726050.0
2019-11-28,751170.0
2019-11-29,790792.0
2019-12-02,792850.0
2019-12-03,791366.0
2019-12-04,829424.0
2019-12-05,840566.0
2019-12-06,809786.0
2019-12-09,823434.0
2019-12-10,817036.0
2019-12-11,827882.0
2019-12-12,784842.0
2019-12-13,787558.0
2019-12-16,782758.0
2019-12-17,772084.0
2019-12-18,766660.0
2019-12-19,766628.0
2019-12-20,772814.0
2019-12-23,790562.0
2019-12-24,772238.0
