trading_date,PB_total_oi
2019-07-12,97118.0
2019-07-15,96716.0
2019-07-16,89670.0
2019-07-17,92158.0
2019-07-18,99714.0
2019-07-19,105452.0
2019-07-22,98218.0
2019-07-23,99546.0
2019-07-24,103134.0
2019-07-25,103126.0
2019-07-26,107666.0
2019-07-29,103596.0
2019-07-30,102864.0
2019-07-31,102634.0
2019-08-01,102378.0
2019-08-02,99142.0
2019-08-05,95088.0
2019-08-06,97110.0
2019-08-07,97946.0
2019-08-08,96754.0
2019-08-09,100896.0
2019-08-12,98370.0
2019-08-13,94454.0
2019-08-14,95468.0
2019-08-15,94018.0
2019-08-16,88866.0
2019-08-19,90388.0
2019-08-20,100482.0
2019-08-21,104270.0
2019-08-22,97640.0
2019-08-23,100984.0
2019-08-26,96056.0
2019-08-27,106532.0
2019-08-28,114006.0
2019-08-29,104958.0
2019-08-30,104304.0
2019-09-02,102376.0
2019-09-03,105374.0
2019-09-04,103556.0
2019-09-05,99484.0
2019-09-06,99942.0
2019-09-09,99242.0
2019-09-10,98284.0
2019-09-11,98896.0
2019-09-12,97958.0
2019-09-16,96430.0
2019-09-17,95208.0
2019-09-18,91654.0
2019-09-19,92274.0
2019-09-20,93496.0
2019-09-23,93740.0
2019-09-24,94808.0
2019-09-25,89562.0
2019-09-26,86016.0
2019-09-27,83122.0
2019-09-30,79822.0
2019-10-08,87926.0
2019-10-09,85760.0
2019-10-10,87622.0
2019-10-11,89820.0
2019-10-14,92146.0
2019-10-15,99730.0
2019-10-16,98522.0
2019-10-17,107236.0
2019-10-18,111382.0
2019-10-21,111142.0
2019-10-22,118898.0
2019-10-23,123466.0
2019-10-24,112250.0
2019-10-25,105588.0
2019-10-28,103206.0
2019-10-29,104900.0
2019-10-30,106974.0
2019-10-31,107568.0
2019-11-01,106452.0
2019-11-04,109934.0
2019-11-05,115182.0
2019-11-06,118558.0
2019-11-07,116792.0
2019-11-08,118464.0
2019-11-11,120602.0
2019-11-12,119960.0
2019-11-13,120046.0
2019-11-14,124696.0
2019-11-15,119628.0
2019-11-18,115904.0
2019-11-19,115330.0
2019-11-20,115244.0
2019-11-21,123270.0
2019-11-22,124378.0
2019-11-25,123842.0
2019-11-26,136302.0
2019-11-27,139068.0
2019-11-28,126526.0
2019-11-29,126404.0
2019-12-02,130566.0
2019-12-03,137262.0
2019-12-04,137896.0
2019-12-05,136538.0
2019-12-06,137426.0
2019-12-09,137966.0
2019-12-10,138980.0
2019-12-11,139742.0
2019-12-12,136828.0
2019-12-13,135076.0
2019-12-16,142924.0
2019-12-17,145228.0
2019-12-18,137372.0
2019-12-19,133484.0
2019-12-20,132308.0
2019-12-23,143142.0
2019-12-24,129494.0
2019-12-25,126704.0
2019-12-26,123430.0
2019-12-27,119364.0
2019-12-30,121770.0
2019-12-31,120452.0
2020-01-02,61051.0
2020-01-03,66433.0
2020-01-06,64705.0
2020-01-07,62247.0
2020-01-08,57279.0
2020-01-09,54390.0
2020-01-10,52121.0
2020-01-13,50398.0
2020-01-14,50376.0
2020-01-15,50699.0
2020-01-16,46253.0
2020-01-17,46126.0
2020-01-20,48160.0
2020-01-21,48856.0
2020-01-22,46947.0
2020-01-23,45250.0
2020-02-03,44784.0
2020-02-04,43675.0
2020-02-05,47604.0
2020-02-06,49940.0
2020-02-07,53546.0
2020-02-10,53337.0
2020-02-11,52785.0
2020-02-12,51999.0
2020-02-13,51979.0
2020-02-14,50475.0
2020-02-17,50342.0
2020-02-18,45032.0
2020-02-19,44101.0
2020-02-20,44903.0
2020-02-21,45381.0
2020-02-24,46053.0
2020-02-25,47468.0
2020-02-26,48470.0
2020-02-27,49734.0
2020-02-28,52271.0
2020-03-02,53950.0
2020-03-03,53485.0
2020-03-04,53690.0
2020-03-05,54281.0
2020-03-06,54147.0
2020-03-09,52642.0
2020-03-10,52923.0
2020-03-11,54654.0
2020-03-12,54722.0
2020-03-13,54633.0
2020-03-16,55054.0
2020-03-17,53514.0
2020-03-18,54295.0
2020-03-19,52774.0
2020-03-20,48646.0
2020-03-23,48253.0
2020-03-24,46832.0
2020-03-25,46431.0
2020-03-26,45379.0
2020-03-27,45255.0
2020-03-30,44318.0
2020-03-31,44940.0
2020-04-01,44840.0
2020-04-02,44680.0
2020-04-03,44227.0
2020-04-07,44848.0
2020-04-08,44635.0
2020-04-09,46297.0
2020-04-10,46088.0
2020-04-13,46075.0
2020-04-14,46345.0
2020-04-15,45943.0
2020-04-16,45789.0
2020-04-17,45801.0
2020-04-20,47881.0
2020-04-21,45275.0
2020-04-22,44638.0
2020-04-23,44836.0
2020-04-24,43829.0
2020-04-27,43520.0
2020-04-28,43472.0
2020-04-29,43739.0
2020-04-30,43693.0
2020-05-06,44774.0
2020-05-07,45517.0
2020-05-08,47288.0
2020-05-11,47183.0
2020-05-12,49888.0
2020-05-13,50271.0
2020-05-14,50458.0
2020-05-15,48233.0
2020-05-18,46252.0
2020-05-19,43516.0
2020-05-20,44912.0
2020-05-21,48703.0
2020-05-22,48050.0
2020-05-25,51590.0
2020-05-26,50733.0
2020-05-27,52891.0
2020-05-28,53388.0
2020-05-29,50836.0
2020-06-01,55034.0
2020-06-02,54764.0
2020-06-03,56599.0
2020-06-04,57895.0
2020-06-05,58193.0
2020-06-08,56665.0
2020-06-09,56987.0
2020-06-10,56872.0
2020-06-11,58364.0
2020-06-12,57399.0
2020-06-15,57345.0
2020-06-16,53853.0
2020-06-17,54425.0
2020-06-18,55650.0
2020-06-19,57745.0
2020-06-22,59135.0
2020-06-23,56996.0
2020-06-24,56272.0
2020-06-29,58081.0
2020-06-30,57141.0
2020-07-01,58242.0
2020-07-02,59508.0
2020-07-03,60293.0
2020-07-06,61078.0
2020-07-07,59631.0
2020-07-08,59559.0
2020-07-09,60935.0
2020-07-10,59932.0
2020-07-13,60318.0
2020-07-14,57391.0
2020-07-15,57160.0
2020-07-16,49266.0
2020-07-17,48244.0
2020-07-20,48619.0
2020-07-21,48745.0
2020-07-22,48509.0
2020-07-23,48063.0
2020-07-24,46981.0
2020-07-27,44848.0
2020-07-28,45610.0
2020-07-29,46097.0
2020-07-30,47619.0
2020-07-31,46468.0
2020-08-03,50395.0
2020-08-04,49054.0
2020-08-05,48887.0
2020-08-06,51529.0
2020-08-07,49356.0
2020-08-10,47595.0
2020-08-11,46397.0
2020-08-12,45454.0
2020-08-13,44244.0
2020-08-14,44036.0
2020-08-17,44447.0
2020-08-18,41609.0
2020-08-19,41762.0
2020-08-20,45292.0
2020-08-21,45325.0
2020-08-24,47263.0
2020-08-25,47235.0
2020-08-26,48529.0
2020-08-27,49499.0
2020-08-28,47091.0
2020-08-31,48951.0
2020-09-01,46764.0
2020-09-02,47229.0
2020-09-03,46745.0
2020-09-04,48719.0
2020-09-07,48400.0
2020-09-08,47500.0
2020-09-09,48274.0
2020-09-10,53403.0
2020-09-11,52655.0
2020-09-14,54388.0
2020-09-15,54535.0
2020-09-16,52572.0
2020-09-17,51930.0
2020-09-18,48704.0
2020-09-21,46557.0
2020-09-22,45153.0
2020-09-23,43663.0
2020-09-24,41303.0
2020-09-25,43249.0
2020-09-28,41707.0
2020-09-29,41632.0
2020-09-30,37367.0
2020-10-09,41790.0
2020-10-12,45909.0
2020-10-13,45894.0
2020-10-14,51563.0
2020-10-15,52701.0
2020-10-16,52044.0
2020-10-19,56226.0
2020-10-20,60350.0
2020-10-21,61652.0
2020-10-22,61064.0
2020-10-23,59310.0
2020-10-26,65077.0
2020-10-27,58291.0
2020-10-28,57496.0
2020-10-29,56297.0
2020-10-30,54261.0
2020-11-02,55595.0
2020-11-03,53359.0
2020-11-04,58940.0
2020-11-05,57048.0
2020-11-06,58526.0
2020-11-09,56313.0
2020-11-10,54784.0
2020-11-11,57494.0
2020-11-12,59011.0
2020-11-13,60925.0
2020-11-16,62436.0
2020-11-17,58744.0
2020-11-18,60215.0
2020-11-19,60234.0
2020-11-20,67063.0
2020-11-23,65310.0
2020-11-24,65637.0
2020-11-25,65404.0
2020-11-26,66138.0
2020-11-27,68670.0
2020-11-30,72743.0
2020-12-01,72465.0
2020-12-02,73366.0
2020-12-03,71256.0
2020-12-04,67702.0
2020-12-07,70314.0
2020-12-08,68190.0
2020-12-09,67478.0
2020-12-10,68717.0
2020-12-11,76910.0
2020-12-14,74290.0
2020-12-15,82134.0
2020-12-16,78059.0
2020-12-17,76873.0
2020-12-18,73823.0
2020-12-21,79544.0
2020-12-22,83702.0
2020-12-23,73747.0
2020-12-24,74874.0
2020-12-25,70490.0
2020-12-28,66070.0
2020-12-29,63755.0
2020-12-30,64647.0
2020-12-31,65445.0
2021-01-04,63674.0
2021-01-05,62840.0
2021-01-06,62926.0
2021-01-07,66058.0
2021-01-08,68812.0
2021-01-11,72136.0
2021-01-12,69657.0
2021-01-13,68121.0
2021-01-14,65190.0
2021-01-15,64327.0
2021-01-18,60090.0
2021-01-19,60355.0
2021-01-20,62450.0
2021-01-21,62602.0
2021-01-22,60685.0
2021-01-25,74292.0
2021-01-26,72571.0
2021-01-27,73393.0
2021-01-28,70046.0
2021-01-29,69202.0
2021-02-01,68206.0
2021-02-02,67550.0
2021-02-03,68283.0
2021-02-04,64258.0
2021-02-05,63005.0
2021-02-08,59964.0
2021-02-09,57544.0
2021-02-10,57876.0
2021-02-18,60761.0
2021-02-19,69328.0
2021-02-22,76734.0
2021-02-23,81183.0
2021-02-24,82483.0
2021-02-25,90219.0
2021-02-26,87292.0
2021-03-01,89007.0
2021-03-02,86520.0
2021-03-03,86350.0
2021-03-04,83161.0
2021-03-05,79701.0
2021-03-08,93578.0
2021-03-09,89409.0
2021-03-10,92788.0
2021-03-11,86272.0
2021-03-12,89491.0
2021-03-15,92076.0
2021-03-16,89264.0
2021-03-17,87666.0
2021-03-18,95377.0
2021-03-19,77943.0
2021-03-22,71461.0
2021-03-23,69251.0
2021-03-24,67308.0
2021-03-25,68991.0
2021-03-26,65868.0
2021-03-29,66209.0
2021-03-30,73223.0
2021-03-31,73522.0
2021-04-01,73278.0
2021-04-02,75435.0
2021-04-06,80510.0
2021-04-07,88309.0
2021-04-08,87038.0
2021-04-09,88178.0
2021-04-12,95120.0
2021-04-13,98048.0
2021-04-14,96079.0
2021-04-15,96898.0
2021-04-16,85968.0
2021-04-19,82051.0
2021-04-20,77625.0
2021-04-21,72082.0
2021-04-22,67708.0
2021-04-23,70649.0
2021-04-26,72387.0
