trading_date,CF_total_oi
2017-12-20,392728.0
2017-12-21,384554.0
2017-12-22,377702.0
2017-12-25,368010.0
2017-12-26,373666.0
2017-12-27,362208.0
2017-12-28,357842.0
2017-12-29,358470.0
2018-01-02,353188.0
2018-01-03,362588.0
2018-01-04,365322.0
2018-01-05,373308.0
2018-01-08,372922.0
2018-01-09,382502.0
2018-01-10,377254.0
2018-01-11,385928.0
2018-01-12,459112.0
2018-01-15,438198.0
2018-01-16,410568.0
2018-01-17,403962.0
2018-01-18,492218.0
2018-01-19,451644.0
2018-01-22,492470.0
2018-01-23,566570.0
2018-01-24,561734.0
2018-01-25,557826.0
2018-01-26,553066.0
2018-01-29,545374.0
2018-01-30,513632.0
2018-01-31,478084.0
2018-02-01,466960.0
2018-02-02,458670.0
2018-02-05,445738.0
2018-02-06,439556.0
2018-02-07,446358.0
2018-02-08,445588.0
2018-02-09,442654.0
2018-02-12,433036.0
2018-02-13,433032.0
2018-02-14,424388.0
2018-02-22,425592.0
2018-02-23,436296.0
2018-02-26,425150.0
2018-02-27,421532.0
2018-02-28,420968.0
2018-03-01,424572.0
2018-03-02,427394.0
2018-03-05,431694.0
2018-03-06,454124.0
2018-03-07,445670.0
2018-03-08,437488.0
2018-03-09,436790.0
2018-03-12,434738.0
2018-03-13,421092.0
2018-03-14,425264.0
2018-03-15,427294.0
2018-03-16,429482.0
2018-03-19,444068.0
2018-03-20,452116.0
2018-03-21,453452.0
2018-03-22,466282.0
2018-03-23,460872.0
2018-03-26,467772.0
2018-03-27,464006.0
2018-03-28,494002.0
2018-03-29,498114.0
2018-03-30,492204.0
2018-04-02,499488.0
2018-04-03,510358.0
2018-04-04,522334.0
2018-04-09,514402.0
2018-04-10,518246.0
2018-04-11,514888.0
2018-04-12,516436.0
2018-04-13,513576.0
2018-04-16,502968.0
2018-04-17,501916.0
2018-04-18,497776.0
2018-04-19,495220.0
2018-04-20,501196.0
2018-04-23,513564.0
2018-04-24,509248.0
2018-04-25,496682.0
2018-04-26,492856.0
2018-04-27,481418.0
2018-05-02,491292.0
2018-05-03,547534.0
2018-05-04,551232.0
2018-05-07,596296.0
2018-05-08,598650.0
2018-05-09,588362.0
2018-05-10,586824.0
2018-05-11,594598.0
2018-05-14,599184.0
2018-05-15,590302.0
2018-05-16,765260.0
2018-05-17,801736.0
2018-05-18,1003608.0
2018-05-21,1115958.0
2018-05-22,1092700.0
2018-05-23,1094516.0
2018-05-24,1168234.0
2018-05-25,1224220.0
2018-05-28,1220718.0
2018-05-29,1336448.0
2018-05-30,1291868.0
2018-05-31,1355586.0
2018-06-01,1384588.0
2018-06-04,1451886.0
2018-06-05,1411176.0
2018-06-06,1228958.0
2018-06-07,1257804.0
2018-06-08,1254362.0
2018-06-11,1272362.0
2018-06-12,1292302.0
2018-06-13,1346464.0
2018-06-14,1300296.0
2018-06-15,1272990.0
2018-06-19,1140380.0
2018-06-20,1079166.0
2018-06-21,1129340.0
2018-06-22,1088472.0
2018-06-25,1129028.0
2018-06-26,1057398.0
2018-06-27,1037118.0
2018-06-28,1041496.0
2018-06-29,990666.0
2018-07-02,1033418.0
2018-07-03,965336.0
2018-07-04,940346.0
2018-07-05,925502.0
2018-07-06,892496.0
2018-07-09,907010.0
2018-07-10,881978.0
2018-07-11,897088.0
2018-07-12,888046.0
2018-07-13,925610.0
2018-07-16,874090.0
2018-07-17,892190.0
2018-07-18,856686.0
2018-07-19,884762.0
2018-07-20,863326.0
2018-07-23,886522.0
2018-07-24,836196.0
2018-07-25,898228.0
2018-07-26,870984.0
2018-07-27,879966.0
