trading_date,I_total_oi
2016-08-04,1774670.0
2016-08-05,1862170.0
2016-08-08,1864884.0
2016-08-09,1859546.0
2016-08-10,1773628.0
2016-08-11,1711286.0
2016-08-12,1786108.0
2016-08-15,1709614.0
2016-08-16,1741018.0
2016-08-17,1689032.0
2016-08-18,1640630.0
2016-08-19,1665348.0
2016-08-22,1689532.0
2016-08-23,1703858.0
2016-08-24,1725518.0
2016-08-25,1704514.0
2016-08-26,1686214.0
2016-08-29,1810832.0
2016-08-30,1908218.0
2016-08-31,1941300.0
2016-09-01,1852832.0
2016-09-02,1856544.0
2016-09-05,1894166.0
2016-09-06,1928998.0
2016-09-07,1942962.0
2016-09-08,1941368.0
2016-09-09,1945216.0
2016-09-12,2002714.0
2016-09-13,2038172.0
2016-09-14,1960296.0
2016-09-19,2022670.0
2016-09-20,2097732.0
2016-09-21,2121780.0
2016-09-22,2095850.0
2016-09-23,2056930.0
2016-09-26,2059502.0
2016-09-27,2034650.0
2016-09-28,2023844.0
2016-09-29,1990018.0
2016-09-30,1794502.0
2016-10-10,1961422.0
2016-10-11,2128568.0
2016-10-12,2213118.0
2016-10-13,2175114.0
2016-10-14,2180094.0
2016-10-17,2163806.0
2016-10-18,2148292.0
2016-10-19,2247564.0
2016-10-20,2135764.0
2016-10-21,2121070.0
2016-10-24,2212926.0
2016-10-25,2145464.0
2016-10-26,1868434.0
2016-10-27,1992176.0
2016-10-28,1985222.0
2016-10-31,1981800.0
2016-11-01,1972884.0
2016-11-02,1951264.0
2016-11-03,1915344.0
2016-11-04,2027812.0
2016-11-07,2090116.0
2016-11-08,1895154.0
2016-11-09,1717736.0
2016-11-10,1446874.0
2016-11-11,1506328.0
2016-11-14,1368030.0
2016-11-15,1301570.0
2016-11-16,1239184.0
2016-11-17,1398484.0
2016-11-18,1415104.0
2016-11-21,1542634.0
2016-11-22,1432652.0
2016-11-23,1426466.0
2016-11-24,1386236.0
2016-11-25,1590304.0
2016-11-28,1462338.0
2016-11-29,1419702.0
2016-11-30,1137874.0
2016-12-01,1237922.0
2016-12-02,1230140.0
2016-12-05,1249594.0
2016-12-06,1272324.0
2016-12-07,1351936.0
2016-12-08,1242716.0
2016-12-09,1292368.0
2016-12-12,1284712.0
2016-12-13,1309494.0
2016-12-14,1447934.0
2016-12-15,1368674.0
2016-12-16,1358612.0
2016-12-19,1350662.0
2016-12-20,1331772.0
2016-12-21,1375704.0
2016-12-22,1376826.0
2016-12-23,1317158.0
2016-12-26,1312834.0
2016-12-27,1259114.0
2016-12-28,1245180.0
2016-12-29,1217922.0
2016-12-30,1101444.0
2017-01-03,1156470.0
2017-01-04,1206660.0
2017-01-05,1177728.0
2017-01-06,1268972.0
2017-01-09,1252968.0
2017-01-10,1290838.0
2017-01-11,1247772.0
2017-01-12,1319554.0
2017-01-13,1300516.0
2017-01-16,1339196.0
2017-01-17,1275044.0
2017-01-18,1347500.0
2017-01-19,1313180.0
2017-01-20,1334082.0
2017-01-23,1239068.0
2017-01-24,1345468.0
2017-01-25,1203706.0
2017-01-26,1150728.0
